model_name,model_type,gpu,run,filename,num_queries,total_input_tokens,total_output_tokens,total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_input_tokens,max_input_tokens,min_output_tokens,max_output_tokens
pixtral-12b-2409,API,N/A,1,pixtral-12b-2409_api_run1_2215879.out,100,8117,149316,157433,81.17,1493.16,1574.33,32.0,142.0,541.0,8192.0
open-mistral-7b-paid,API,N/A,10,open-mistral-7b_paid_api_run10_2268202.out,100,8923,97222,106145,89.23,972.22,1061.45,35.0,157.0,503.0,8192.0
open-mistral-nemo-paid,API,N/A,2,open-mistral-nemo_paid_api_run2_2268204.out,100,8117,169648,177765,81.17,1696.48,1777.65,32.0,142.0,458.0,8192.0
open-mistral-nemo,API,N/A,5,open-mistral-nemo_api_run5_2215878.out,100,8117,173688,181805,81.17,1736.88,1818.05,32.0,142.0,507.0,8192.0
open-mistral-7b-paid,API,N/A,8,open-mistral-7b_paid_api_run8_2268200.out,100,8923,105830,114753,89.23,1058.3,1147.53,35.0,157.0,446.0,8192.0
open-mistral-7b-paid,API,N/A,5,open-mistral-7b_paid_api_run5_2268197.out,100,8923,97710,106633,89.23,977.1,1066.33,35.0,157.0,451.0,8192.0
open-mistral-nemo,API,N/A,10,open-mistral-nemo_api_run10_2244874.out,100,8117,167819,175936,81.17,1678.19,1759.36,32.0,142.0,488.0,6160.0
open-mistral-7b,API,N/A,7,open-mistral-7b_api_run7_2244856.out,100,8923,98977,107900,89.23,989.77,1079.0,35.0,157.0,461.0,5147.0
pixtral-12b-2409,API,N/A,5,pixtral-12b-2409_api_run5_2215883.out,100,8117,143852,151969,81.17,1438.52,1519.69,32.0,142.0,526.0,4142.0
open-mistral-7b,API,N/A,1,open-mistral-7b_api_run1_2215869.out,100,8923,108103,117026,89.23,1081.03,1170.26,35.0,157.0,506.0,8192.0
open-mistral-7b-paid,API,N/A,7,open-mistral-7b_paid_api_run7_2268199.out,100,8923,101962,110885,89.23,1019.62,1108.85,35.0,157.0,482.0,8192.0
open-mistral-7b,API,N/A,3,open-mistral-7b_api_run3_2215871.out,100,8923,94368,103291,89.23,943.68,1032.91,35.0,157.0,492.0,2133.0
open-mistral-nemo,API,N/A,2,open-mistral-nemo_api_run2_2215875.out,100,8117,169651,177768,81.17,1696.51,1777.68,32.0,142.0,513.0,5709.0
open-mistral-nemo-paid,API,N/A,5,open-mistral-nemo_paid_api_run5_2268207.out,100,8117,161440,169557,81.17,1614.4,1695.57,32.0,142.0,444.0,5054.0
open-mistral-7b,API,N/A,8,open-mistral-7b_api_run8_2244857.out,100,8923,103695,112618,89.23,1036.95,1126.18,35.0,157.0,521.0,8192.0
open-mistral-7b-paid,API,N/A,2,open-mistral-7b_paid_api_run2_2268194.out,100,8923,101412,110335,89.23,1014.12,1103.35,35.0,157.0,448.0,8192.0
pixtral-12b-2409,API,N/A,10,pixtral-12b-2409_api_run10_2244888.out,100,8117,149563,157680,81.17,1495.63,1576.8,32.0,142.0,455.0,8192.0
open-mistral-nemo-paid,API,N/A,8,open-mistral-nemo_paid_api_run8_2268211.out,100,8117,165476,173593,81.17,1654.76,1735.93,32.0,142.0,502.0,8192.0
pixtral-12b-2409,API,N/A,2,pixtral-12b-2409_api_run2_2215880.out,100,8117,153819,161936,81.17,1538.19,1619.36,32.0,142.0,495.0,8192.0
open-mistral-nemo-paid,API,N/A,9,open-mistral-nemo_paid_api_run9_2268212.out,100,8117,171772,179889,81.17,1717.72,1798.89,32.0,142.0,501.0,8192.0
open-mistral-7b,API,N/A,6,open-mistral-7b_api_run6_2247095.out,100,8923,99244,108167,89.23,992.44,1081.67,35.0,157.0,395.0,8192.0
open-mistral-nemo-paid,API,N/A,7,open-mistral-nemo_paid_api_run7_2268209.out,100,8117,168328,176445,81.17,1683.28,1764.45,32.0,142.0,466.0,8192.0
open-mistral-7b,API,N/A,10,open-mistral-7b_api_run10_2244859.out,100,8923,104174,113097,89.23,1041.74,1130.97,35.0,157.0,413.0,8192.0
open-mistral-nemo,API,N/A,3,open-mistral-nemo_api_run3_2215876.out,100,8117,166556,174673,81.17,1665.56,1746.73,32.0,142.0,500.0,8192.0
open-mistral-7b,API,N/A,4,open-mistral-7b_api_run4_2215872.out,100,8923,115617,124540,89.23,1156.17,1245.4,35.0,157.0,499.0,8192.0
open-mistral-nemo,API,N/A,4,open-mistral-nemo_api_run4_2215877.out,100,8117,158856,166973,81.17,1588.56,1669.73,32.0,142.0,449.0,4706.0
pixtral-12b-2409,API,N/A,9,pixtral-12b-2409_api_run9_2244887.out,100,8117,148232,156349,81.17,1482.32,1563.49,32.0,142.0,493.0,4465.0
open-mistral-nemo-paid,API,N/A,3,open-mistral-nemo_paid_api_run3_2268205.out,100,8117,172367,180484,81.17,1723.67,1804.84,32.0,142.0,503.0,8192.0
open-mistral-7b-paid,API,N/A,4,open-mistral-7b_paid_api_run4_2268196.out,100,8923,107852,116775,89.23,1078.52,1167.75,35.0,157.0,434.0,8192.0
open-mistral-7b-paid,API,N/A,9,open-mistral-7b_paid_api_run9_2268201.out,100,8923,90183,99106,89.23,901.83,991.06,35.0,157.0,416.0,2048.0
pixtral-12b-2409,API,N/A,6,pixtral-12b-2409_api_run6_2244880.out,100,8117,145397,153514,81.17,1453.97,1535.14,32.0,142.0,489.0,3475.0
pixtral-12b-2409,API,N/A,4,pixtral-12b-2409_api_run4_2215882.out,100,8117,153606,161723,81.17,1536.06,1617.23,32.0,142.0,505.0,8192.0
open-mistral-7b-paid,API,N/A,6,open-mistral-7b_paid_api_run6_2268198.out,100,8923,106029,114952,89.23,1060.29,1149.52,35.0,157.0,442.0,8192.0
open-mistral-nemo,API,N/A,9,open-mistral-nemo_api_run9_2244872.out,100,8117,165229,173346,81.17,1652.29,1733.46,32.0,142.0,466.0,5937.0
pixtral-12b-2409,API,N/A,7,pixtral-12b-2409_api_run7_2244883.out,100,8117,144224,152341,81.17,1442.24,1523.41,32.0,142.0,497.0,3745.0
open-mistral-nemo-paid,API,N/A,10,open-mistral-nemo_paid_api_run10_2268213.out,100,8117,171435,179552,81.17,1714.35,1795.52,32.0,142.0,497.0,8192.0
open-mistral-7b,API,N/A,2,open-mistral-7b_api_run2_2215870.out,100,8923,94351,103274,89.23,943.51,1032.74,35.0,157.0,512.0,2788.0
open-mistral-7b-paid,API,N/A,1,open-mistral-7b_paid_api_run1_2268193.out,100,8923,110275,119198,89.23,1102.75,1191.98,35.0,157.0,405.0,8192.0
open-mistral-7b,API,N/A,9,open-mistral-7b_api_run9_2244858.out,100,8923,102432,111355,89.23,1024.32,1113.55,35.0,157.0,517.0,8192.0
open-mistral-nemo-paid,API,N/A,4,open-mistral-nemo_paid_api_run4_2268206.out,100,8117,168667,176784,81.17,1686.67,1767.84,32.0,142.0,487.0,8192.0
open-mistral-nemo,API,N/A,8,open-mistral-nemo_api_run8_2244870.out,100,8117,168211,176328,81.17,1682.11,1763.28,32.0,142.0,496.0,8192.0
open-mistral-nemo,API,N/A,6,open-mistral-nemo_api_run6_2244865.out,100,8117,158133,166250,81.17,1581.33,1662.5,32.0,142.0,522.0,3772.0
open-mistral-7b-paid,API,N/A,3,open-mistral-7b_paid_api_run3_2268195.out,100,8923,101117,110040,89.23,1011.17,1100.4,35.0,157.0,486.0,8192.0
pixtral-12b-2409,API,N/A,3,pixtral-12b-2409_api_run3_2215881.out,100,8117,149661,157778,81.17,1496.61,1577.78,32.0,142.0,530.0,4181.0
open-mistral-nemo,API,N/A,1,open-mistral-nemo_api_run1_2215874.out,99,7987,160914,168901,80.67676767676768,1625.3939393939395,1706.0707070707072,32.0,142.0,481.0,4450.0
pixtral-12b-2409,API,N/A,8,pixtral-12b-2409_api_run8_2244885.out,100,8117,155034,163151,81.17,1550.34,1631.51,32.0,142.0,536.0,8192.0
open-mistral-nemo-paid,API,N/A,6,open-mistral-nemo_paid_api_run6_2268208.out,100,8117,158934,167051,81.17,1589.34,1670.51,32.0,142.0,507.0,4708.0
open-mistral-nemo-paid,API,N/A,1,open-mistral-nemo_paid_api_run1_2268203.out,100,8117,155728,163845,81.17,1557.28,1638.45,32.0,142.0,496.0,6176.0
open-mistral-nemo,API,N/A,7,open-mistral-nemo_api_run7_2244868.out,100,8117,167333,175450,81.17,1673.33,1754.5,32.0,142.0,557.0,5327.0
open-mistral-7b,API,N/A,5,open-mistral-7b_api_run5_2215873.out,100,8923,102534,111457,89.23,1025.34,1114.57,35.0,157.0,443.0,8192.0
llama-3.1-8b-instant,API,N/A,10,llama-3.1-8b-instant_api_run10_2244886.out,77,7757,86353,94110,100.74025974025975,1121.4675324675325,1222.2077922077922,61.0,166.0,521.0,2555.0
llama-3.1-8b-instant,API,N/A,8,llama-3.1-8b-instant_api_run8_2244882.out,57,4929,52073,57002,86.47368421052632,913.561403508772,1000.0350877192982,61.0,160.0,530.0,2106.0
llama-3.1-8b-instant,API,N/A,6,llama-3.1-8b-instant_api_run6_2244873.out,71,6737,74936,81673,94.88732394366197,1055.4366197183099,1150.3239436619717,61.0,165.0,531.0,8192.0
llama-3.1-8b-instant,API,N/A,24,llama-3.1-8b-instant_api_run24_2248438.out,100,10922,120798,131720,109.22,1207.98,1317.2,61.0,168.0,548.0,2687.0
llama-3.1-8b-instant,API,N/A,3,llama-3.1-8b-instant_api_run3_2244867.out,92,9693,106719,116412,105.3586956521739,1159.9891304347825,1265.3478260869565,61.0,165.0,506.0,3222.0
llama-3.1-8b-instant,API,N/A,7,llama-3.1-8b-instant_api_run7_2244879.out,56,4711,51750,56461,84.125,924.1071428571429,1008.2321428571429,61.0,163.0,514.0,3649.0
llama-3.1-8b-instant,API,N/A,2,llama-3.1-8b-instant_api_run2_2244864.out,100,10922,127451,138373,109.22,1274.51,1383.73,61.0,168.0,510.0,8192.0
llama-3.1-8b-instant,API,N/A,29,llama-3.1-8b-instant_api_run29_2248443.out,73,7456,80211,87667,102.13698630136986,1098.7808219178082,1200.9178082191781,61.0,166.0,519.0,2353.0
llama-3.1-8b-instant,API,N/A,16,llama-3.1-8b-instant_api_run16_2247402.out,100,10922,122152,133074,109.22,1221.52,1330.74,61.0,168.0,543.0,2771.0
llama-3.1-8b-instant,API,N/A,30,llama-3.1-8b-instant_api_run30_2248444.out,100,10922,122996,133918,109.22,1229.96,1339.18,61.0,168.0,528.0,2896.0
llama-3.1-8b-instant,API,N/A,12,llama-3.1-8b-instant_api_run12_2247398.out,100,10922,118586,129508,109.22,1185.86,1295.08,61.0,168.0,534.0,3922.0
llama-3.1-8b-instant,API,N/A,27,llama-3.1-8b-instant_api_run27_2248441.out,73,7058,76373,83431,96.68493150684931,1046.2054794520548,1142.890410958904,61.0,165.0,463.0,2506.0
llama-3.1-8b-instant,API,N/A,5,llama-3.1-8b-instant_api_run5_2244871.out,100,10922,119350,130272,109.22,1193.5,1302.72,61.0,168.0,537.0,3734.0
llama-3.1-8b-instant,API,N/A,15,llama-3.1-8b-instant_api_run15_2247401.out,100,10922,120607,131529,109.22,1206.07,1315.29,61.0,168.0,534.0,2749.0
llama-3.1-8b-instant,API,N/A,22,llama-3.1-8b-instant_api_run22_2248436.out,100,10922,120292,131214,109.22,1202.92,1312.14,61.0,168.0,509.0,2346.0
llama-3.1-8b-instant,API,N/A,18,llama-3.1-8b-instant_api_run18_2247406.out,100,10922,128304,139226,109.22,1283.04,1392.26,61.0,168.0,530.0,2920.0
llama-3.1-8b-instant,API,N/A,21,llama-3.1-8b-instant_api_run21_2248435.out,100,10922,124667,135589,109.22,1246.67,1355.89,61.0,168.0,514.0,8192.0
llama-3.1-8b-instant,API,N/A,9,llama-3.1-8b-instant_api_run9_2244884.out,57,5026,54458,59484,88.17543859649123,955.4035087719299,1043.578947368421,61.0,164.0,535.0,2533.0
llama-3.1-8b-instant,API,N/A,25,llama-3.1-8b-instant_api_run25_2248439.out,100,10922,124341,135263,109.22,1243.41,1352.63,61.0,168.0,507.0,3119.0
llama-3.1-8b-instant,API,N/A,4,llama-3.1-8b-instant_api_run4_2244869.out,91,9790,110061,119851,107.58241758241758,1209.4615384615386,1317.043956043956,61.0,168.0,533.0,3577.0
llama-3.1-8b-instant,API,N/A,28,llama-3.1-8b-instant_api_run28_2248442.out,64,5781,62561,68342,90.328125,977.515625,1067.84375,61.0,165.0,523.0,2677.0
llama-3.1-8b-instant,API,N/A,17,llama-3.1-8b-instant_api_run17_2247404.out,100,10922,128063,138985,109.22,1280.63,1389.85,61.0,168.0,524.0,3135.0
llama-3.1-8b-instant,API,N/A,20,llama-3.1-8b-instant_api_run20_2247408.out,100,10922,117624,128546,109.22,1176.24,1285.46,61.0,168.0,542.0,2854.0
llama-3.1-8b-instant,API,N/A,13,llama-3.1-8b-instant_api_run13_2247399.out,100,10922,122224,133146,109.22,1222.24,1331.46,61.0,168.0,500.0,3370.0
llama-3.1-8b-instant,API,N/A,1,llama-3.1-8b-instant_api_run1_2238846.out,100,10922,119821,130743,109.22,1198.21,1307.43,61.0,168.0,515.0,2224.0
llama-3.1-8b-instant,API,N/A,26,llama-3.1-8b-instant_api_run26_2248440.out,100,10922,121568,132490,109.22,1215.68,1324.9,61.0,168.0,542.0,2709.0
llama-3.1-8b-instant,API,N/A,14,llama-3.1-8b-instant_api_run14_2247400.out,100,10922,122608,133530,109.22,1226.08,1335.3,61.0,168.0,522.0,2440.0
llama-3.1-8b-instant,API,N/A,23,llama-3.1-8b-instant_api_run23_2248437.out,100,10922,124420,135342,109.22,1244.2,1353.42,61.0,168.0,529.0,3330.0
llama-3.1-8b-instant,API,N/A,11,llama-3.1-8b-instant_api_run11_2247397.out,100,10922,119803,130725,109.22,1198.03,1307.25,61.0,168.0,527.0,2899.0
llama-3.1-8b-instant,API,N/A,19,llama-3.1-8b-instant_api_run19_2247407.out,100,10922,122835,133757,109.22,1228.35,1337.57,61.0,168.0,491.0,3848.0
Mistral-Nemo-Base-2407,Local,H100,10,Mistral-Nemo-Base-2407_H100_run10_2281443.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,7,Mistral-7B-Instruct-v0.3_H100-PCI_run7_2281381.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,A100-40GB,8,Mistral-7B-v0.3_A100-40GB_run8_2281269.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Base-2407,Local,A100-PCI,5,Mistral-Nemo-Base-2407_A100-PCI_run5_2281427.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-40GB,7,Mistral-Nemo-Instruct-2407_A100-40GB_run7_2281472.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,1,Mistral-7B-Instruct-v0.3_H100-PCI_run1_2281375.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-Instruct-v0.3,Local,A100-40GB,9,Mistral-7B-Instruct-v0.3_A100-40GB_run9_2281340.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-Instruct-v0.3,Local,A100-40GB,2,Mistral-7B-Instruct-v0.3_A100-40GB_run2_2281333.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Base-2407,Local,H100,4,Mistral-Nemo-Base-2407_H100_run4_2281437.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-PCI,1,Mistral-7B-Instruct-v0.3_A100-PCI_run1_2281353.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-v0.3,Local,H200,4,Mistral-7B-v0.3_H200_run4_2281323.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-PCI,7,Mistral-Nemo-Instruct-2407_A100-PCI_run7_2281492.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-Nemo-Base-2407,Local,H100,8,Mistral-Nemo-Base-2407_H100_run8_2281441.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,H100-PCI,3,Mistral-Nemo-Instruct-2407_H100-PCI_run3_2281509.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-Instruct-v0.3,Local,A100-40GB,5,Mistral-7B-Instruct-v0.3_A100-40GB_run5_2281336.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Base-2407,Local,A100-80GB,7,Mistral-Nemo-Base-2407_A100-80GB_run7_2281418.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,2,Mistral-7B-Instruct-v0.3_H100-PCI_run2_2281376.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,H200,7,Mistral-7B-v0.3_H200_run7_2281327.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Base-2407,Local,H200,9,Mistral-Nemo-Base-2407_H200_run9_2281463.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-PCI,6,Mistral-7B-Instruct-v0.3_A100-PCI_run6_2281358.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Instruct-2407,Local,A100-40GB,4,Mistral-Nemo-Instruct-2407_A100-40GB_run4_2281469.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-Nemo-Base-2407,Local,H200,4,Mistral-Nemo-Base-2407_H200_run4_2281458.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-v0.3,Local,A100-PCI,8,Mistral-7B-v0.3_A100-PCI_run8_2281296.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Base-2407,Local,A100-PCI,7,Mistral-Nemo-Base-2407_A100-PCI_run7_2281429.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-PCI,4,Mistral-Nemo-Instruct-2407_A100-PCI_run4_2281489.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-40GB,4,Mistral-7B-Instruct-v0.3_A100-40GB_run4_2281335.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Base-2407,Local,H100,9,Mistral-Nemo-Base-2407_H100_run9_2281442.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-80GB,8,Mistral-7B-Instruct-v0.3_A100-80GB_run8_2281349.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
